close,y_pred,y_pred_best,y_pred_xgb,y_pred_svm,y_pred_crossover,y_pred_rsi,market_returns,position,position_best,position_xgb,position_svm,position_crossover,position_rsi,strategy_returns,strategy_best_returns,strategy_xgb_returns,strategy_svm_returns,strategy_crossover_returns,strategy_rsi_returns,cumulative_market,cumulative_strategy,cumulative_strategy_best,cumulative_strategy_xgb,cumulative_strategy_svm,cumulative_strategy_crossover,cumulative_strategy_rsi
125.75,0,0,0,0,1,0,-0.07495954097395907,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.07495954097395907,-0.0,1.0971034723433957,1.0,1.0,1.0,1.0,1.0971034723433957,1.0
135.81,0,0,0,0,1,0,0.08000000000000007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08000000000000007,0.0,1.1848717501308674,1.0,1.0,1.0,1.0,1.1848717501308674,1.0
133.31,0,0,0,0,1,0,-0.018408070097930884,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.018408070097930884,-0.0,1.1630605478974003,1.0,1.0,1.0,1.0,1.1630605478974003,1.0
127.31,0,0,0,0,1,0,-0.04500787637836623,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.04500787637836623,-0.0,1.1107136625370793,1.0,1.0,1.0,1.0,1.1107136625370793,1.0
130.38,0,0,0,0,1,0,0.024114366506951423,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.024114366506951423,0.0,1.1374978188797769,1.0,1.0,1.0,1.0,1.1374978188797769,1.0
125.19,0,0,0,0,1,0,-0.03980671882190523,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.03980671882190523,-0.0,1.0922177630430991,1.0,1.0,1.0,1.0,1.0922177630430991,1.0
131.75,0,0,0,0,1,0,0.052400351465772044,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.052400351465772044,0.0,1.149450357703717,1.0,1.0,1.0,1.0,1.149450357703717,1.0
125.0,0,0,0,0,1,0,-0.05123339658444026,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.05123339658444026,-0.0,1.0905601116733556,1.0,1.0,1.0,1.0,1.0905601116733556,1.0
119.44,0,0,0,0,1,0,-0.044479999999999964,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.044479999999999964,-0.0,1.042051997906125,1.0,1.0,1.0,1.0,1.042051997906125,1.0
109.25,0,0,0,0,1,0,-0.08531480241125244,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.08531480241125244,-0.0,0.953149537602513,1.0,1.0,1.0,1.0,0.953149537602513,1.0
